PERMNO,date,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,HSICCD,CUSIP,DLPRC,DLRET,PRC,RET,SHROUT,CFACPR,CFACSHR,sprtrn
10107,2010-05-28,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,25.8,-0.150811,8763839.0,1.0,1.0,-0.081976
10107,2010-06-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,23.01,-0.108140,8653567.0,1.0,1.0,-0.053882
10107,2010-07-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,25.81,0.121686,8653567.0,1.0,1.0,0.068778
10107,2010-08-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,23.465,-0.085819,8653567.0,1.0,1.0,-0.047449
10107,2010-09-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,24.49,0.043682,8562000.0,1.0,1.0,0.087551
10107,2010-10-29,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,26.665,0.088812,8555523.0,1.0,1.0,0.036856
10107,2010-11-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,25.2575,-0.046784,8555523.0,1.0,1.0,-0.00229
10107,2010-12-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,27.91,0.105018,8403000.0,1.0,1.0,0.0653
10107,2011-01-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,27.725,-0.006628,8402382.0,1.0,1.0,0.022646
10107,2011-02-28,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,26.58,-0.035528,8402382.0,1.0,1.0,0.031957
10107,2011-03-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,25.39,-0.044771,8431000.0,1.0,1.0,-0.001047
10107,2011-04-29,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,25.92,0.020874,8432767.0,1.0,1.0,0.028495
10107,2011-05-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,25.01,-0.028935,8432767.0,1.0,1.0,-0.013501
10107,2011-06-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,26.0,0.039584,8376000.0,1.0,1.0,-0.018258
10107,2011-07-29,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,27.4,0.053846,8378266.0,1.0,1.0,-0.021474
10107,2011-08-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,26.6,-0.023358,8378266.0,1.0,1.0,-0.056791
10107,2011-09-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,24.89,-0.064286,8410000.0,1.0,1.0,-0.071762
10107,2011-10-31,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,26.63,0.069908,8412182.0,1.0,1.0,0.107723
10107,2011-11-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,25.58,-0.031919,8412182.0,1.0,1.0,-0.005059
10107,2011-12-30,11.0,3.0,7370.0,59491810,MSFT,MICROSOFT CORP,,7370,59491810,,,25.96,0.014855,8390771.0,1.0,1.0,0.008533
